saId,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
2700093097,1,7,3,7,7,9,5,7,6,5,9,7,3,8,4,7,6,8,7
2700093097,2,6,4,7,6,7,3,6,7,7,10,6,4,8,5,8,6,7,8
2700110837,1,5,3,5,6,8,5,7,6,3,6,7,6,7,4,6,5,6,7
2700110837,2,6,3,7,5,8,4,4,5,4,6,5,5,6,7,7,4,9,8
2700116107,1,5,3,6,5,6,3,5,5,5,6,5,5,6,3,6,5,6,8
2700116107,2,7,4,5,5,6,3,6,5,5,5,5,4,6,4,8,5,6,5
2700149294,1,6,5,6,6,5,3,6,5,5,7,4,4,4,4,5,4,5,7
2700149294,2,5,4,5,5,7,4,5,5,5,6,8,3,6,4,6,4,6,7
2700179246,1,5,4,5,5,6,4,7,6,5,6,4,7,6,4,5,10,7,7
2700179246,2,5,5,5,5,6,5,4,5,6,8,5,3,5,4,6,5,5,5
2700180851,1,5,3,6,4,5,4,4,6,5,6,6,6,8,3,6,6,7,7
2700180851,2,4,4,5,5,6,4,6,5,5,5,5,6,6,4,5,4,6,6
2700181058,1,6,3,6,4,7,4,5,6,5,8,5,4,7,3,6,6,6,8
2700181058,2,6,4,5,6,11,5,6,5,6,9,7,3,6,4,7,5,7,7
2700181092,1,6,3,7,6,6,4,7,7,4,7,4,6,6,3,7,5,9,10
2700181092,2,6,4,5,7,6,4,7,5,6,8,5,3,7,4,6,5,7,8
2700191557,1,5,5,8,5,7,3,5,5,4,8,6,4,6,5,6,5,5,9
2700191557,2,5,4,8,6,6,5,8,7,6,6,6,3,7,4,7,5,5,7
2700223146,1,5,2,6,5,7,3,6,5,5,5,4,3,6,4,6,4,5,6
2700223146,2,5,3,5,6,8,3,6,6,5,6,4,3,7,4,8,4,6,6
2700227060,1,6,3,6,7,5,3,5,6,4,8,4,4,6,4,6,3,6,7
2700227060,2,5,3,5,5,7,3,6,5,4,7,4,3,6,3,6,5,6,5
2700269173,1,5,4,5,7,5,4,6,5,4,7,5,4,6,5,6,6,6,5
2700269173,2,5,3,7,5,6,3,7,6,5,7,5,5,5,3,5,5,7,6
2700290517,1,6,3,6,5,6,6,5,5,5,7,5,4,7,3,7,3,6,6
2700290517,2,5,3,6,6,6,4,7,5,5,7,6,4,7,4,7,4,6,11
2700307743,1,6,3,6,4,7,3,5,5,5,7,4,4,7,6,6,3,5,4
2700307743,2,5,5,4,6,10,5,6,5,5,10,5,4,6,4,5,4,6,5.1
2700333319,1,6,3,6,4,5,6,6,5,4,7,5,4,6,3,6,5,5,7
2700333319,2,5,4,6,4,6,6,5,5,7,5,7,3,5,5,6,4,5,5
2700438384,1,4,3,4,4,5,3,4,4,3,4,4,3,4,4,5,4,5,5
2700438384,2,4,4,4,5,7,5,4,4,3,5,4,4,4,6,4,5,5,5
